259	8	            tb2->dataset.n.try	00 00 00 00 00 00 00 0A 
260	8	          tb2->dataset.n.wsize	00 00 00 00 00 00 00 01 
261	8	           tb2->dataset.n.fold	00 00 00 00 00 00 00 04 
267	8	tb2->dataset.folds._[idxfold].k	00 00 00 00 00 00 00 0A 
268	8	tb2->dataset.folds._[idxfold].k_test	00 00 00 00 00 00 00 05 
267	8	tb2->dataset.folds._[idxfold].k	00 00 00 00 00 00 00 0A 
268	8	tb2->dataset.folds._[idxfold].k_test	00 00 00 00 00 00 00 08 
267	8	tb2->dataset.folds._[idxfold].k	00 00 00 00 00 00 00 14 
268	8	tb2->dataset.folds._[idxfold].k_test	00 00 00 00 00 00 00 0A 
267	8	tb2->dataset.folds._[idxfold].k	00 00 00 00 00 00 00 14 
268	8	tb2->dataset.folds._[idxfold].k_test	00 00 00 00 00 00 00 0F 
215	8	                      idxwsize	00 00 00 00 00 00 00 00 
216	48	               windows_counter	00 00 00 00 00 00 00 71 00 00 00 00 00 00 00 52 00 00 00 00 00 00 00 1F 00 00 00 00 00 00 00 52 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1F 
240	8	                        windex	00 00 00 00 00 00 00 00 
240	8	                        windex	00 00 00 00 00 00 00 01 
240	8	                        windex	00 00 00 00 00 00 00 02 
240	8	                        windex	00 00 00 00 00 00 00 03 
240	8	                        windex	00 00 00 00 00 00 00 04 
240	8	                        windex	00 00 00 00 00 00 00 05 
240	8	                        windex	00 00 00 00 00 00 00 06 
240	8	                        windex	00 00 00 00 00 00 00 07 
240	8	                        windex	00 00 00 00 00 00 00 08 
240	8	                        windex	00 00 00 00 00 00 00 09 
240	8	                        windex	00 00 00 00 00 00 00 0A 
240	8	                        windex	00 00 00 00 00 00 00 0B 
240	8	                        windex	00 00 00 00 00 00 00 0C 
240	8	                        windex	00 00 00 01 00 00 00 00 
240	8	                        windex	00 00 00 01 00 00 00 01 
240	8	                        windex	00 00 00 01 00 00 00 02 
240	8	                        windex	00 00 00 01 00 00 00 03 
