,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
1239,tdk,gTLD,,,,,no,TDK Corporation
1240,team,gTLD,,,,,no,"Binky Moon, LLC"
1241,tech,gTLD,,,,,no,Radix FZC
1242,technology,gTLD,,,,,no,"Binky Moon, LLC"
1243,tel,sTLD,,,,,no,Telnames Ltd.
1244,telecity,gTLD,,,,,no,
1245,telefonica,gTLD,,,,,no,
1246,temasek,gTLD,,,,,no,Temasek Holdings (Private) Limited
1247,tennis,gTLD,,,,,no,"Binky Moon, LLC"
1248,teva,gTLD,,,,,no,Teva Pharmaceutical Industries Limited
1249,tf,ccTLD,,,,,no,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1250,tg,ccTLD,,,,,no,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP)
1251,th,ccTLD,,,,,no,Thai Network Information Center Foundation
1252,thd,gTLD,,,,,no,"Home Depot Product Authority, LLC"
1253,theater,gTLD,,,,,no,"Binky Moon, LLC"
1254,theatre,gTLD,,,,,no,XYZ.COM LLC
1255,tiaa,gTLD,,,,,no,Teachers Insurance and Annuity Association of America
1256,tickets,gTLD,,,,,no,XYZ.COM LLC
1257,tienda,gTLD,,,shop,,no,"Binky Moon, LLC"
1258,tiffany,gTLD,,,,,no,Tiffany and Company
1259,tips,gTLD,,,,,no,"Binky Moon, LLC"
1260,tires,gTLD,,,,,no,"Binky Moon, LLC"
1261,tirol,gTLD,,,,,no,punkt Tirol GmbH
1262,tj,ccTLD,,,,,no,Information Technology Center
1263,tjmaxx,gTLD,,,,,no,"The TJX Companies, Inc."
1264,tjx,gTLD,,,,,no,"The TJX Companies, Inc."
1265,tk,ccTLD,,,,,no,Telecommunication Tokelau Corporation (Teletok)
1266,tkmaxx,gTLD,,,,,no,"The TJX Companies, Inc."
1267,tl,ccTLD,,,,,no,Autoridade Nacional de Comunicações
1268,tm,ccTLD,,,,,no,TM Domain Registry Ltd
1269,tmall,gTLD,,,,,no,Alibaba Group Holding Limited
1270,tn,ccTLD,,,,,no,Agence Tunisienne d'Internet
1271,to,ccTLD,,,,,no,"Government of the Kingdom of Tonga
H.R.H. Crown Prince Tupouto'a
c/o Consulate of Tonga"
1272,today,gTLD,,,,,no,"Binky Moon, LLC"
1273,tokyo,gTLD,,,,,no,"GMO Registry, Inc."
1274,tools,gTLD,,,,,no,"Binky Moon, LLC"
1275,top,gTLD,,,,,no,"Jiangsu Bangning Science & Technology Co.,Ltd."
1276,toray,gTLD,,,,,no,"Toray Industries, Inc."
1277,toshiba,gTLD,,,,,no,TOSHIBA Corporation
1278,total,gTLD,,,,,no,Total SA
1279,tours,gTLD,,,,,no,"Binky Moon, LLC"
1280,town,gTLD,,,,,no,"Binky Moon, LLC"
1281,toyota,gTLD,,,,,no,TOYOTA MOTOR CORPORATION
1282,toys,gTLD,,,,,no,"Binky Moon, LLC"
1283,tp,ccTLD,,,,,no,
1284,tr,ccTLD,,,,,no,Bilgi Teknolojileri ve İletişim Kurumu (BTK)
1285,trade,gTLD,,,,,no,Elite Registry Limited
1286,trading,gTLD,,,,,no,"Dog Beach, LLC"
1287,training,gTLD,,,,,no,"Binky Moon, LLC"
1288,travel,sTLD,,,,,no,"Dog	Beach, LLC"
1289,travelchannel,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
1290,travelers,gTLD,,,,,no,"Travelers TLD, LLC"
1291,travelersinsurance,gTLD,,,,,no,"Travelers TLD, LLC"
